0, 0
5000, 0
10000, 0
15000, 0
20000, 0.015625
25000, 0
30000, 0
35000, 0
40000, 0
45000, 0.015625
50000, 0
55000, 0.015625
60000, 0
65000, 0
70000, 0.015625
75000, 0
80000, 0.015625
85000, 0.015625
90000, 0
95000, 0.015625
100000, 0.015625
105000, 0
110000, 0.015625
115000, 0.015625
120000, 0.015625
125000, 0.015625
130000, 0.015625
135000, 0.015625
140000, 0.015625
145000, 0.015625
150000, 0.015625
155000, 0.015625
160000, 0.015625
165000, 0.015625
170000, 0.015625
175000, 0.015625
180000, 0.03125
185000, 0.015625
190000, 0.015625
195000, 0.015625
200000, 0.015625
205000, 0.015625
210000, 0.03125
215000, 0.015625
220000, 0.03125
225000, 0.03125
230000, 0.015625
235000, 0.015625
240000, 0.03125
245000, 0.03125
250000, 0.03125
255000, 0.03125
260000, 0.03125
265000, 0.03125
270000, 0.03125
275000, 0.03125
280000, 0.03125
285000, 0.03125
290000, 0.03125
295000, 0.03125
300000, 0.046875
